ContentType,Description,ID,Group,BaseContentType
Visualization Training Document,Document to provide supporting information about a data visualization,0x010100da398ed4e7394ea9a1d4524afae14d91,Viewport Data Visualization,"""Document"" base content type"
Visualization Parameter,A collection of information to configure a visualization's view,0x010035de6af9637a4cc0bc5717e40cb8beb9,Viewport Data Visualization,Item
User Profile,Additional fields to round out the AD and SharePoint profile fields for Viewport use,0x01004981e0f7bdff435cb1e16181ecd41015, Viewport Data Visualization,Item
Visualization,Represents a single visualization in Viewport,0x010049f01431b7934ebaa699764cf86b6267,Viewport Data Visualization,Item
Viewport Favorite,Represents a single favorited visualization by a user,0x0100e43267c923f44b70a5b559be201416d8,Viewport Data Visualization,Item
Visualization Discussion,Represents discussion topic by user,0x01200038B3C7985F42D342B647C6AB2CCBD390,Viewport Data Visualization,Folder
Visualization Discussion Reply,Represents discussion response by user,0x0100B92A50FB75305D42A6D538A8C9A14E0B,Viewport Data Visualization,Item
Visualization News,Hold the News for ViewPort Portal,0x010038C8697B2DE0483894594C9047502263,Viewport Data Visualization,Item
Visualization Extension,Hold the Extended Fields nd Information on Visualizationa,0x010038C8697B2DE0483894594C9047502262,Viewport Data Visualization,Item
Viewport Base Item,Global base content type for items,0x01005CEB835D0EE2EE4FBD90C6EA85FA8862,Viewport Data Visualization,"""Item"" base content type"
Viewport Meeting Book,Global content type for Viewport Meeting Book,0x01005CEB835D0EE2EE4FBD90C6EA85FA886202,Viewport Data Visualization,"""Viewport Base Item"" base content type"
Viewport Meeting Book Item,Global content type for Viewport Meeting Book Item,0x01005CEB835D0EE2EE4FBD90C6EA85FA886204,Viewport Data Visualization,"""Viewport Base Item"" base content type"
